#  file: fmRawProjectAuthors2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in Sep of 2013
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=387
#  AND fpa.datasource_id=387
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 387 is the Sep 2013 run on freshmeat.
project_id	projectname_short	author_name	author_role
424	asmon    	Tigr	Owner
425	asmutils    	Konstantin Boldyshev	Owner
428	asp2php    	Michael Kohn	Owner
429	aspell    	Kevin Atkinson	Owner
430	aspell-da    	Jacob Sparre Andersen	Owner
431	asplinux    	asplinux	Owner
432	aspseek    	Kir Kolyshkin	Owner
439	astaropsd    	astaro	Owner
440	asl    	astaro	Owner
443	asteroids3d    	Jan Engelhardt	Owner
445	astime    	Tigr	Owner
446	astroconst    	J.Bailin	Owner
453	aterm    	Sasha Vasko	Owner
455	athene    	Rocklyte	Owner
465	audiofilelibrary    	Michael Pruett	Owner
466	audio-entropyd    	udo	Owner
466	audio-entropyd    	Folkert van Heusden	admin
467	audiodsp    	Seth David Johnson	Owner
468	audiocdweb    	Henry Palonen	Owner
472	audiomixer    	timecop	Owner
473	audit    	Jeff Tranter	Owner
477	etsre    	Mezcalero	Owner
478	august    	b:son	Owner
479	aumix    	trevor	Owner
482	austinpm    	JCGregorio	Owner
484	authenticatedusercommunity    	David Moore	Owner
485	authforce    	kapheine	Owner
486	authlocal    	Jeremy Monin	Owner
488	auth_ldap    	rudedog	Owner
489	automanager    	itools	Owner
490	and    	P. Schemitz	Owner
498	autoconvert    	Yu Guanghui	Owner
500	autodns    	Jonathan McDowell	Owner
501	autofs    	H. Peter Anvin	Owner
504	autogen    	Bruce Korb	Owner
507	autojot    	Seth Golub	Owner
508	autolame    	Christian Garbs	Owner
515	apgd    	Adel I. Mirzazhanov	Owner
516	autoxdr    	Bruce Korb	Owner
518	asa    	Automatos Server Agent	Owner
520	autoopts    	Bruce Korb	Owner
528	autorpm    	Kirk Bauer	Owner
529	autorun    	Harald Hoyer	Owner
532	autostatus    	Dave Andersen	Owner
533	autotrace    	Martin Weber	Owner
535	autoupdate    	Gerald Teschl	Owner
538	afinger    	Pieter Krul	Owner
540	avacl    	Paul L Daniels	Owner
541	avalon    	bear1	Owner
541	avalon    	Paul Hammant	Administrator
544	avfs    	Miklos Szeredi	Owner
545	avi-xmms    	Crocodile	Owner
547	avifile    	Hamster	Owner
548	avi2mpegpatch    	Alexander Oelzant	Owner
549	avl    	Daniel Nagy	Owner
550	avlmap    	Phil Howard	Owner
552	avrmon-stk200    	Nicolas Korber	Owner
558	awemud    	Sean Middleditch	Owner
560	awka    	Andrew Sumner	Owner
562	awstats    	Laurent Destailleur	Owner and author
563	ax25-apps    	seeS	Owner
564	ax25-tools    	seeS	Owner
566	axkit    	Matt Sergeant	Owner
571	b_    	Victor Liu	Owner
573	babelj    	Tim Macinta	Owner
575	babylonchat    	Andy McLaughlin	Owner
576	babytrans    	Cods	Owner
577	back-end    	Mike Gifford	Owner
586	backupsd    	Dan Fraser (Optic)	Owner
587	backupsw    	VisualVersion LLC	Owner
590	bag    	Dobrica Pavlinusic	Owner
593	bahamut    	Jason Slagle	Owner
598	bakery    	Murray Cumming	Owner
599	balance    	Thomas Obermair	Owner
600	balmail    	Jake Jellinek	Owner
601	balsa    	Carlos Morgado	Developer
601	balsa    	Matthew Guenther	Owner
603	banal    	G. Matthew Rice	Owner
610	bannerkiller    	Sebastien Ailleret	Owner
613	barrendero    	Eduardo Diaz Comellas	Owner
618	bashish    	arne	Owner
620	baslinux    	ichi	Owner
622	basiliskii    	Christian Bauer	Owner
623	basilix    	Mike Peters	Owner
625	bastilleunix    	Jay Beale	Owner
626	batallanaval    	Ricardo Quesada	Owner
628	batik    	Cameron McCormack	Owner
629	droidbattles    	Bluefire	Owner
632	baudline    	Sigfried Blip	Owner
634	bawt    	Dan Fraser (Optic)	Owner
635	bayonne    	David Sugar	Owner
638	bbbs    	Kim Heino	Owner
639	bbclone    	wavman	Owner
640	bbdb    	Waider	Owner
644	bbkeys    	Jason 'vanRijn' Kasper	Owner
649	bbs100    	Walter	Owner
657	bchunk    	Heikki Hannikainen	Owner
658	bclf    	Perry Harrington	Owner
661	bcwipe    	linux	Owner
662	bday    	Jan Schaumann	Owner
667	beam-back    	beam-back	Owner
670	beancounter    	Dirk Eddelbuettel	Owner
671	beastbse    	Tim Janik	Owner
671	beastbse    	Alper Ersoy	Alper Ersoy
672	beatmonkey    	Michael Pruett	Owner
674	beaver    	Michael Terry	Maintainer
674	beaver    	Skypher	Maintainer
674	beaver    	Emmanuel Turquin	Owner
678	beecrypt    	Bob Deblier	Owner
681	beep    	Johnath	Owner
682	beepage    	UMich RSUG	Owner
686	behemotgraphicseditor    	Sergio Perani	Owner
687	belgian-howto    	Dag Wieers	Owner
688	belt    	Max Zomborszki	Owner
689	benback    	Ben Hartshorne	Owner
691	beonex-comm    	Beonex	Owner
694	berkeleydb    	dsegleau	Owner
697	fresco    	Stefan Seefeld	Owner
701	betaftpd    	Sesse	Owner
704	bew    	DaveSource	Owner
707	bfbtester-bruteforcebinarytester    	Mike Heffner	Owner
708	buffer    	Paranoid	Owner
712	bftpd    	Slicer	Owner
715	biabam    	Mads Martin Jørgensen	Owner
716	bib2html    	sgalland	Owner
719	bibletime    	Martin Gruner	Owner
719	bibletime    	eelik	Project Manager
721	bibcursed    	Dominic	Owner
722	bicycleridecaloriecalculator    	Greg Kondrasuk	Owner
723	bidwatcher    	bushing	Owner
723	bidwatcher    	kevin	Owner
724	biew    	Nick Kurshev	Owner
728	bigbrother    	minitru	Owner
730	bigsam    	Gezzed	Owner
731	bigsis    	Thomas Aeby	Owner
732	bb    	cp	Owner
734	bigforthminos    	Bernd Paysan	Owner
735	biggles    	Mike Nolta	Owner
736	bigloo    	Serrano	Owner
754	binutils    	Dagobert Michelsen	Owner
755	biojava    	Thomas Down	Owner
757	bioperl    	Jason Stajich	Owner
757	bioperl    	ewanb	administrator
759	bird    	Martin Mares	Owner
759	bird    	Ondrej Filip	Maintainer
764	bitvector    	Steffen Beyer	Owner
765	bitchx    	dovee	Project Communications & Doc Support
765	bitchx    	ice-man	Source project support
765	bitchx    	Dragoon	Doc Support
765	bitchx    	sin	Owner
768	bitkeeper    	Larry McVoy	Owner
773	bkmrkconv    	Andrew Flegg	Owner
776	blackarts    	Chris Dent	Owner
778	blackbox    	Shaleh	Owner
785	bladeenc    	TordJ	Owner
793	bleetz    	carmelo	Project Manager
804	blq    	Chip Rosenthal	Owner
806	bluecatlinux    	LynuxWorks Webmaster	Owner
808	bluefish    	Olivier Sessink	Owner
808	bluefish    	Daniel Blair	Admin
809	bluej    	bruceq	developer
809	bluej    	Michael Kölling	owner
810	bluelava    	Ian Wilkinson	Owner
815	bluetile    	Peter Kleiweg	Owner
818	bm2html    	rafferty	Owner
831	boa    	Jonathon Nelson	Owner
832	boa-constructor    	Riaan	Owner
835	bobobot    	Bill Kendrick, New Breed Software	Owner
836	bobomail    	Henning	Owner
837	bobotpp    	unknown_lamer	Owner
838	bochs    	Timothy R. Butler	Owner
839	boclient    	Dobrica Pavlinusic	Owner
847	bomberinstinct    	Louis Gesbert	Owner
848	bomberman    	Michel MAC WING	Owner
851	bonnie    	etbe	Owner
863	bootlogo    	Jan Willem	Owner
866	bootrip    	Brent	Owner
867	bootroot    	Jonathan Rosenbaum	Owner
870	boson    	Thomas Capricelli	Owner
870	boson    	Andi	lead dev
877	boxes    	Thomas Jensen	Owner
880	bpowerd    	Christopher A. Craig	Owner
882	brahms    	Jan Wuerthner	Owner
883	brain    	Manuel Tomis	Owner
884	bsp-initrd    	Michal Moskal	Owner
887	bras    	Harald Kirsch	Owner
888	breloc    	Dave Dykstra	Owner
898	brix    	Markus Peter	Owner
899	brl    	brlewis	Owner
900	brl-cad    	Erik Greenwald	Core Developer
900	brl-cad    	BRL-CAD	Owner
901	brltty    	Dave Mielke	Owner
908	browserexpress    	PSS	Owner
910	bru    	pchrist	Owner
917	bsp    	Colin Phipps	Owner
921	btn4ws_pl    	Jan Dittberner	Owner
922	bttvgrab    	Jörg Walter	Owner
924	bubblemon4gnome    	Walles	Owner
924	bubblemon4gnome    	Juan Salaverria	Owner of the Gnome2 port
927	buf    	merlin	Owner
929	bugsquish    	Bill Kendrick, New Breed Software	Owner
935	bugtrack    	agstools	Owner
936	bugzilla    	Dave Miller	Owner
937	build    	god_of_pain	Owner
940	builderxcessoryproforlinux    	Mark Hatch	Owner
941	buildkernel    	William Stearns	Owner
942	bulkmailer    	Keith Moore	Owner
944	bullucks    	Folkert van Heusden	Owner
951	bbb    	W. Michael Petullo	Owner
953	busybox    	Erik Andersen	Owner
953	busybox    	Bernhard Reutner-Fischer	Owner
954	busytime    	VisualVersion LLC	Owner
955	butterfly    	Digital Solutions	Owner
959	buzzerelectronicnotebook    	John Lindal	Owner
962	bvi    	Gerhard Buergmann	Owner
963	bw-whois    	Bill Weinman	Owner
964	bw-admin    	Zarjazz	Owner
968	bxxik    	Mark Hatch	Owner
974	bzflag    	Tim Riker	Owner
978	cserverpages    	Teodoro	Owner
981	libcwd    	Carlo Wood	Owner
982	moncls_h    	Don Anderson	Owner
983	c2hs    	Chilli	Owner
985	c-kermit    	Frank da Cruz	Owner
986	c-xsc2_0    	C-XSC	Owner
993	cabextract    	kyz	Owner
996	cacheabilityengine    	Mark Nottingham	Owner
998	cactus    	Tom Goodale	Owner
999	cadaver    	Joe Orton	Owner
1000	cadaverserver    	erikyyy	Owner
1004	cafire    	Robert Cimrman	Owner
1007	cajun    	Cajun	Owner
1008	calamar    	Open iT GmbH	Owner
1009	calamaris    	Cord Beermann	Owner
1010	calc    	chongo	Owner
1011	calcium    	Fred	Owner
1015	calendarclass    	Manuel Lemos	Owner
1018	call2sym    	Phil Hollenback	Owner
1022	calltree    	Jörg Schilling	Owner
1027	came    	Tom	Owner
1029	camserv    	Jon Travis	Owner
1030	camstream    	Nemosoft Unv.	Owner
1037	capture    	Franck Bonin	Owner
1038	carworld    	bobsap	Owner
1041	cardinfo    	timecop	Owner
1042	cards_py    	Adam Gurno	Owner
1043	cardwords    	Tobias Peters	Owner
1047	cascade    	Mark Stosberg	Owner
1055	catdoc    	Neil Williams	Project Manager
1056	catdvi    	Antti-Juhani Kaijanaho	Owner
1056	catdvi    	Björn Brill	Current maintainer
1058	cw2dmk    	Tim Mann	Owner
1059	caudium    	David Hedbor	Owner
1059	caudium    	Xavier Beaudouin	Project Lead
1059	caudium    	Bill Welliver	Project Lead
1062	cawfeecgisdk    	Ben Wilder	Owner
1063	cbb    	Brian Koontz	Owner
1068	cbq_init    	Paul Golubev	Owner
1068	cbq_init    	Lubomir Bulej	Admin
1069	cbrowser    	Chris Felaco	Owner
1071	ccaudio2    	David Sugar	Owner
1085	ccp    	Andrey Grozin	Owner
1088	ccscript    	David Sugar	Owner
1098	cd-console    	Osku Salerma	Owner
1101	cdrchive2    	Mick Grant	Owner
1102	cd-romcontrolforlinux    	Paul Millar	Owner
1103	cdmt    	Alpha	Owner
1108	cdbackup    	Stefan Huelswitt	Owner
1112	cdctl    	thalakan	Owner
1115	cddb    	Armin Obersteiner	Owner
1118	cddbd_sh    	Robert Sander	Owner
1122	cdfs    	Michiel Ronsse	Owner
1135	cdplayer_app    	Andreas	Owner
1138	cdrdao    	poolshark	Owner
1139	cdrecord    	Jörg Schilling	Owner
1145	cdsa2    	David Bowler	Owner
1149	cdxa    	Long Island Man (Jon Atkins)	Owner
1152	celebrat    	Daniel Bungert	Owner
1152	celebrat    	Anthony Baire	owner
1155	centericq    	Konstantin Klyagin	Owner
1156	cdscsid    	Kees Cook	Owner
1157	cervisia    	Christian Loose	Owner
1158	cexcept    	Adam M. Costello	Owner
1161	cfgtie    	Randy Maas	Owner
1164	cftp    	Dillo	Owner
1164	cftp    	NiH	admin
1165	cfv    	Matthew Mueller	Owner
1167	cgames    	Brian Raiter	Owner
1175	cgi-util    	Bill Kendrick, New Breed Software	Owner
1179	cgiapplication    	Jesse Erlbaum	Owner
1185	cgiirc    	David Leadbeater	Owner
1186	cgiburn    	Scott Gifford	Owner
1188	cgichk    	Fortyseven	Owner
1189	cgicq    	Omar Kilani	Owner
