#  file: fmRawProjectStats2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2013-Sep
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=387
#  ORDER BY project_id
#
#  datasource_id = 387 is the 2013-Sep run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
218	althea    	4.54    	NULL	NULL	128.92    	NULL	NULL	3    	4    	NULL	11    
219	alzabo    	6.53    	NULL	NULL	149.61    	NULL	NULL	1    	1    	NULL	18    
220	am-utils    	2.04    	NULL	NULL	117.9    	NULL	NULL	0    	0    	NULL	9    
221	amacdys    	1.42    	NULL	NULL	54.41    	NULL	NULL	0    	0    	NULL	4    
222	amanda    	10.3    	NULL	NULL	422.28    	NULL	NULL	7    	8    	NULL	119    
223	amavis    	1.54    	NULL	NULL	320.66    	NULL	NULL	2    	4    	NULL	74    
224	amaya    	6.9    	NULL	NULL	349.62    	NULL	NULL	6    	9    	NULL	87    
226	amber    	2.11    	NULL	NULL	76.25    	NULL	NULL	0    	0    	NULL	5    
227	amcatommodulecompiler    	2.15    	NULL	NULL	67.82    	NULL	NULL	0    	0    	NULL	3    
228	amcmailclient    	1.0    	NULL	NULL	35.67    	NULL	NULL	0    	0    	NULL	0    
229	amcl    	6.47    	NULL	NULL	159.94    	NULL	NULL	3    	3    	NULL	19    
232	amf    	1.78    	NULL	NULL	63.12    	NULL	NULL	1    	1    	NULL	3    
234	amiwm    	75.16    	NULL	NULL	93.55    	NULL	NULL	5    	5    	NULL	7    
235	aml    	2.54    	NULL	NULL	47.31    	NULL	NULL	0    	0    	NULL	2    
236	ammp    	1.0    	NULL	NULL	61.06    	NULL	NULL	2    	2    	NULL	3    
238	amount    	2.12    	NULL	NULL	48.16    	NULL	NULL	0    	0    	NULL	2    
242	amx    	1.52    	NULL	NULL	69.31    	NULL	NULL	0    	0    	NULL	3    
246	anacron    	1.0    	NULL	NULL	67.81    	NULL	NULL	2    	2    	NULL	10    
248	analog    	5.56    	NULL	NULL	330.37    	NULL	NULL	8    	8    	NULL	81    
250	andychat    	2.68    	NULL	NULL	27.78    	NULL	NULL	0    	0    	NULL	1    
253	anfy    	1.43    	NULL	NULL	57.78    	NULL	NULL	0    	1    	NULL	2    
254	angband    	7.39    	NULL	NULL	216.78    	NULL	NULL	8    	8    	NULL	43    
255	angelnetworkmonitor    	74.12    	NULL	NULL	111.36    	NULL	NULL	1    	1    	NULL	9    
257	angif    	1.75    	NULL	NULL	58.41    	NULL	NULL	1    	1    	NULL	3    
259	angst    	1.74    	NULL	NULL	120.27    	NULL	NULL	0    	0    	NULL	10    
264	anitmt    	2.61    	NULL	NULL	62.26    	NULL	NULL	0    	0    	NULL	2    
265	anjuta    	9.05    	NULL	NULL	608.09    	NULL	NULL	68    	71    	NULL	205    
268	anonvelope    	1.47    	NULL	NULL	51.22    	NULL	NULL	0    	0    	NULL	1    
269	anonynews    	1.76    	NULL	NULL	34.23    	NULL	NULL	0    	0    	NULL	1    
272	anpa    	1.0    	NULL	NULL	37.31    	NULL	NULL	0    	0    	NULL	1    
273	ansi2gif    	2.16    	NULL	NULL	60.22    	NULL	NULL	1    	1    	NULL	6    
274	ansiprint    	1.0    	NULL	NULL	40.5    	NULL	NULL	0    	0    	NULL	1    
275	anteater    	4.09    	NULL	NULL	268.33    	NULL	NULL	0    	0    	NULL	31    
277	anteil    	1.75    	NULL	NULL	45.28    	NULL	NULL	0    	1    	NULL	4    
278	anthem    	1.84    	NULL	NULL	134.49    	NULL	NULL	0    	0    	NULL	13    
286	antiword    	3.91    	NULL	NULL	514.09    	NULL	NULL	18    	18    	NULL	129    
